avg,mapped_wreq,1-288,289-576,577-864,865-1152,1153-1440
104,"{""mean"": 103.1, ""bench"": ""pyaes-0958d24d76320041c5"", ""payload"": ""{\""message_length\"": 48, \""num_iterations\"": 251}""}",0,1,2,1,0
138,"{""mean"": 136.9, ""bench"": ""pyaes-fb46d0a4dd72bee359"", ""payload"": ""{\""message_length\"": 288, \""num_iterations\"": 76}""}",1,1,1,1,1
88,"{""mean"": 88.0, ""bench"": ""chameleon-b8166d3fd45201"", ""payload"": ""{\""nrow\"": 152, \""ncol\"": 152}""}",1,1,1,1,1
297,"{""mean"": 295.3, ""bench"": ""pyaes-62e028396f54a96948"", ""payload"": ""{\""message_length\"": 480, \""num_iterations\"": 101}""}",0,1,2,1,0
1504,"{""mean"": 1489.2, ""bench"": ""chameleon-c1dbbbf7f0e25b"", ""payload"": ""{\""nrow\"": 664, \""ncol\"": 664}""}",2,2,0,0,1
2621,"{""mean"": 2594.8, ""bench"": ""pyaes-bc838c4bf15df84f13"", ""payload"": ""{\""message_length\"": 3584, \""num_iterations\"": 126}""}",1,1,1,1,0
204,"{""mean"": 202.8, ""bench"": ""chameleon-fbbc73efd81509"", ""payload"": ""{\""nrow\"": 240, \""ncol\"": 240}""}",1,1,1,1,1
105,"{""mean"": 105.6, ""bench"": ""chameleon-75bfff6460c525"", ""payload"": ""{\""nrow\"": 168, \""ncol\"": 168}""}",1,1,1,1,1
1340,"{""mean"": 1345.4, ""bench"": ""chameleon-2449bcf27497b9"", ""payload"": ""{\""nrow\"": 632, \""ncol\"": 632}""}",1,1,1,1,0
22,"{""mean"": 22.0, ""bench"": ""chameleon-65a1a192ef1d59"", ""payload"": ""{\""nrow\"": 56, \""ncol\"": 56}""}",1,1,1,1,1
20,"{""mean"": 19.9, ""bench"": ""chameleon-ba8fa7721b7f50"", ""payload"": ""{\""nrow\"": 48, \""ncol\"": 48}""}",1,1,1,1,1
112,"{""mean"": 111.1, ""bench"": ""pyaes-61196e257c532afcec"", ""payload"": ""{\""message_length\"": 352, \""num_iterations\"": 51}""}",0,1,1,1,1
337,"{""mean"": 335.8, ""bench"": ""chameleon-f0550b971b732f"", ""payload"": ""{\""nrow\"": 312, \""ncol\"": 312}""}",1,1,1,1,1
220,"{""mean"": 220.7, ""bench"": ""json_serdes-074f2a064b17"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n6784.json\""}""}",1,1,1,1,1
60,"{""mean"": 60.6, ""bench"": ""chameleon-51e0e775314fbc"", ""payload"": ""{\""nrow\"": 120, \""ncol\"": 120}""}",1,1,1,1,1
206,"{""mean"": 205.8, ""bench"": ""pyaes-857b701ab968081803"", ""payload"": ""{\""message_length\"": 672, \""num_iterations\"": 51}""}",0,1,1,1,1
145,"{""mean"": 146.3, ""bench"": ""chameleon-092b841af2ffcd"", ""payload"": ""{\""nrow\"": 200, \""ncol\"": 200}""}",0,1,1,1,1
1500,"{""mean"": 1489.2, ""bench"": ""chameleon-c1dbbbf7f0e25b"", ""payload"": ""{\""nrow\"": 664, \""ncol\"": 664}""}",1,2,1,0,0
23,"{""mean"": 23.0, ""bench"": ""pyaes-4fa243e605e3e2346c"", ""payload"": ""{\""message_length\"": 128, \""num_iterations\"": 26}""}",1,1,1,1,1
111,"{""mean"": 110.0, ""bench"": ""pyaes-058b0661282d9bde44"", ""payload"": ""{\""message_length\"": 704, \""num_iterations\"": 26}""}",1,1,1,1,1
174,"{""mean"": 174.9, ""bench"": ""json_serdes-60155bbfca3d"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n5248.json\""}""}",1,0,1,1,1
399,"{""mean"": 398.6, ""bench"": ""json_serdes-21e42cbf6a25"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n12544.json\""}""}",1,1,1,0,0
1970,"{""mean"": 1975.3, ""bench"": ""chameleon-1102a8bda7caf5"", ""payload"": ""{\""nrow\"": 768, \""ncol\"": 768}""}",1,1,1,1,1
